city,party,age,election,men_population,women_population,hispanic_population,white_population,black_population,native_population,asian_population,pacific_population,voted_cnt,not_voted_cnt,total_population
BEDFORD,DEM,57,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,80,0,12868
BEDFORD,DEM,56,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,88,8,12868
BEDFORD,DEM,55,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,72,0,12868
BEDFORD,DEM,54,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,52,4,12868
BEDFORD,DEM,53,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,24,0,12868
BEDFORD,DEM,52,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,52,0,12868
BEDFORD,DEM,51,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,72,0,12868
BEDFORD,DEM,50,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,40,0,12868
BEDFORD,DEM,49,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,52,0,12868
BEDFORD,DEM,48,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,24,0,12868
BEDFORD,DEM,47,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,40,4,12868
BEDFORD,DEM,46,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,16,4,12868
BEDFORD,DEM,45,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,28,0,12868
BEDFORD,DEM,98,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,4,4,12868
BEDFORD,DEM,97,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,12,0,12868
BEDFORD,DEM,96,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,4,0,12868
BEDFORD,DEM,95,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,16,0,12868
BEDFORD,DEM,94,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,4,0,12868
BEDFORD,DEM,93,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,32,8,12868
BEDFORD,DEM,92,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,28,0,12868
BEDFORD,DEM,91,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,32,4,12868
BEDFORD,DEM,90,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,56,0,12868
