CensusTract,Total_Population,Men,Women
39035123200,3203,1647,1556
39035123400,3752,1955,1797
39035123501,3496,1688,1808
39035123502,2791,1351,1440
39035123601,3085,1556,1529
39035123602,2919,1394,1525
39035123603,3342,1618,1724
39035123700,2636,1327,1309
39035123800,2402,940,1462
39035123900,2582,1213,1369
39035124100,4953,2358,2595
39035124201,2803,1298,1505
39035124202,1665,821,844
39035124300,4509,2007,2502
39035124500,3798,2151,1647
39035124600,3686,1939,1747
39035126100,2963,1401,1562
39035127501,3319,1485,1834
39035130103,4468,2227,2241
39035130104,4169,2042,2127
39035130105,3390,1585,1805
39035130106,3442,1656,1786
39035131102,3323,1529,1794
39035131103,4194,2011,2183
39035131104,4284,1737,2547
39035132100,4793,2413,2380
39035132200,2845,1360,1485
39035132301,3401,1324,2077
39035132302,1829,881,948
39035133103,3448,1561,1887
39035133104,2606,1052,1554
39035134100,1375,633,742
39035134203,3384,1660,1724
39035134204,4360,2040,2320
39035134205,2837,1429,1408
39035134206,3059,1460,1599
39035134300,3986,1989,1997
39035135103,2205,1039,1166
39035135104,4199,2160,2039
39035135105,5827,2802,3025
39035135106,1285,702,583
39035136101,5734,2480,3254
39035136102,7591,3698,3893
39035136103,5943,2832,3111
39035137101,2358,1124,1234
39035137102,4559,2382,2177
39035137103,4085,1942,2143
39035138105,1192,667,525
39035138106,3447,1781,1666
39035138107,2083,920,1163
39035138108,4125,1982,2143
39035138109,4099,1958,2141
39035138110,4010,1809,2201
39035140100,1468,695,773
39035140301,2389,1015,1374
39035140302,2573,1181,1392
39035140400,2615,1094,1521
39035140500,3492,1659,1833
39035140600,897,468,429
39035140701,2507,1062,1445
39035140702,1954,887,1067
39035140800,3694,1614,2080
39035140900,2143,1091,1052
39035141000,1203,581,622
39035141100,4186,2096,2090
39035141200,3115,1448,1667
39035141300,2938,1429,1509
39035141400,2543,1147,1396
39035141500,1684,812,872
39035141601,1590,753,837
39035141602,1436,622,814
39035141700,1410,641,769
39035150100,2256,1042,1214
39035150300,1832,855,977
39035150400,1479,711,768
39035151100,1272,592,680
39035151200,1571,573,998
39035151300,1967,798,1169
39035151400,1608,853,755
39035151500,1278,647,631
39035151600,1349,671,678
39035151700,1073,530,543
39035151800,1834,746,1088
39035152101,2389,1163,1226
39035152102,4329,1766,2563
39035152201,3022,1399,1623
39035152202,4213,1954,2259
39035152301,2735,1309,1426
39035152302,4529,2163,2366
39035152303,3782,1950,1832
39035152400,1787,839,948
39035152501,3511,1703,1808
39035152502,2529,1109,1420
39035152603,1028,521,507
