CensusTract,Total_Population
39035192300,1526
39035192800,1153
39035192900,1956
39035193800,998
39035193900,970
39035194100,2288
39035194300,3421
39035194500,2179
39035194800,925
39035194900,3288
39035195600,4611
39035195700,4699
39035195800,3866
39035195900,4177
39035196000,1551
39035196100,2628
39035196200,3870
39035196300,4009
39035196400,2867
39035196500,1564
